"","ime","leto","stevilo","spol"
"1","Aaron",2008,14,"moski"
"2","Abaz",2008,22,"moski"
"3","Abdija",2008,17,"moski"
"4","Abdo",2008,5,"moski"
"5","Abdula",2008,11,"moski"
"6","Abdulah",2008,85,"moski"
"7","Abdullah",2008,5,"moski"
"8","Abdurahman",2008,12,"moski"
"9","Abdurrahman",2008,5,"moski"
"10","Abedin",2008,28,"moski"
"11","Abel",2008,11,"moski"
"12","Abid",2008,40,"moski"
"13","Abidin",2008,7,"moski"
"14","Aca",2008,14,"moski"
"15","Ace",2008,7,"moski"
"16","Aco",2008,69,"moski"
"17","Adalbert",2008,41,"moski"
"18","Adam",2008,367,"moski"
"19","Adel",2008,69,"moski"
"20","Adem",2008,278,"moski"
"21","Ademir",2008,8,"moski"
"22","Adi",2008,83,"moski"
"23","Adian",2008,6,"moski"
"24","Adijan",2008,5,"moski"
"25","Adil",2008,97,"moski"
"26","Adin",2008,50,"moski"
"27","Adis",2008,328,"moski"
"28","Admin",2008,8,"moski"
"29","Admir",2008,466,"moski"
"30","Adnan",2008,439,"moski"
"31","Adnen",2008,13,"moski"
"32","Ado",2008,23,"moski"
"33","Adolf",2008,1022,"moski"
"34","Adonis",2008,5,"moski"
"35","Adrian",2008,147,"moski"
"36","Adriano",2008,39,"moski"
"37","Adrijan",2008,220,"moski"
"38","Adrijano",2008,43,"moski"
"39","Advan",2008,7,"moski"
"40","Afrim",2008,83,"moski"
"41","Agan",2008,51,"moski"
"42","Agim",2008,125,"moski"
"43","Ago",2008,23,"moski"
"44","Agon",2008,5,"moski"
"45","Agron",2008,88,"moski"
"46","Ahac",2008,26,"moski"
"47","Ahmed",2008,50,"moski"
"48","Ahmedin",2008,6,"moski"
"49","Ahmet",2008,322,"moski"
"50","Ahmo",2008,42,"moski"
"51","Aid",2008,16,"moski"
"52","Aidan",2008,5,"moski"
"53","Ajas",2008,11,"moski"
"54","Ajdan",2008,6,"moski"
"55","Ajdin",2008,118,"moski"
"56","Ajet",2008,32,"moski"
"57","Ajhan",2008,7,"moski"
"58","Ajiz",2008,16,"moski"
"59","Ajnur",2008,8,"moski"
"60","Aki",2008,6,"moski"
"61","Akif",2008,23,"moski"
"62","Akija",2008,5,"moski"
"63","Al",2008,12,"moski"
"64","Aladar",2008,12,"moski"
"65","Aladin",2008,50,"moski"
"66","Alaga",2008,53,"moski"
"67","Alain",2008,36,"moski"
"68","Alajdin",2008,5,"moski"
"69","Alan",2008,508,"moski"
"70","Alban",2008,37,"moski"
"71","Albert",2008,881,"moski"
"72","Alberto",2008,25,"moski"
"73","Albin",2008,2057,"moski"
"74","Albino",2008,7,"moski"
"75","Albion",2008,13,"moski"
"76","Aldijan",2008,6,"moski"
"77","Aldin",2008,188,"moski"
"78","Aldo",2008,236,"moski"
"79","Ale",2008,70,"moski"
"80","Alec",2008,5,"moski"
"81","Alej",2008,5,"moski"
"82","Alek",2008,17,"moski"
"83","Aleks",2008,796,"moski"
"84","Aleksa",2008,70,"moski"
"85","Aleksandar",2008,1105,"moski"
"86","Aleksander",2008,5516,"moski"
"87","Aleksander Sasa",2008,13,"moski"
"88","Aleksander Saso",2008,20,"moski"
"89","Aleksandr",2008,9,"moski"
"90","Aleksandro",2008,5,"moski"
"91","Aleksej",2008,153,"moski"
"92","Aleksij",2008,27,"moski"
"93","Aleksije",2008,5,"moski"
"94","Alem",2008,42,"moski"
"95","Alen",2008,3498,"moski"
"96","Alessandro",2008,29,"moski"
"97","Alessio",2008,5,"moski"
"98","Ales",2008,10740,"moski"
"99","Alex",2008,397,"moski"
"100","Alexander",2008,125,"moski"
"101","Alexandru",2008,8,"moski"
"102","Alexey",2008,5,"moski"
"103","Alfons",2008,7,"moski"
"104","Alfonz",2008,252,"moski"
"105","Alfred",2008,238,"moski"
"106","Alfredo",2008,9,"moski"
"107","Ali",2008,123,"moski"
"108","Alija",2008,239,"moski"
"109","Alil",2008,6,"moski"
"110","Alim",2008,5,"moski"
"111","Alin",2008,6,"moski"
"112","Alis",2008,23,"moski"
"113","Alit",2008,7,"moski"
"114","Aljas",2008,6,"moski"
"115","Aljaz",2008,3915,"moski"
"116","Alji",2008,11,"moski"
"117","Aljo",2008,17,"moski"
"118","Aljosa",2008,1716,"moski"
"119","Allan",2008,5,"moski"
"120","Allen",2008,17,"moski"
"121","Alli",2008,5,"moski"
"122","Almaz",2008,11,"moski"
"123","Almedin",2008,45,"moski"
"124","Almin",2008,65,"moski"
"125","Almir",2008,483,"moski"
"126","Alois",2008,14,"moski"
"127","Alojz",2008,9356,"moski"
"128","Alojz Andrej",2008,5,"moski"
"129","Alojz Franc",2008,5,"moski"
"130","Alojz Ivan",2008,6,"moski"
"131","Alojz Janez",2008,5,"moski"
"132","Alojz Marjan",2008,5,"moski"
"133","Alojz Slavko",2008,27,"moski"
"134","Alojz Stanislav",2008,6,"moski"
"135","Alojzij",2008,4358,"moski"
"136","Alojzij Anton",2008,6,"moski"
"137","Alojzij Franc",2008,8,"moski"
"138","Alojzij Janez",2008,5,"moski"
"139","Alojzij Slavko",2008,26,"moski"
"140","Alojzij Stanislav",2008,11,"moski"
"141","Alojzije",2008,28,"moski"
"142","Altin",2008,13,"moski"
